DCS_TAG,TagComment,Type,ITEM,ItemComment,RangeHI,RangeLO,UNIT,DataType,Array1,Array2,MarType,Process,VM_UNIT,VAR,VMArray1
071ZSC05104,'071-U-130','MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU05104,closelsw,0
071KY05104,'071-U-130','MC-2E',PV,IN,1,0,2,0,0,1,101,MODEL2,U071KU05104,sw,0
S071ZLC16101,'N2,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU16101,closelsw,0
S071ZLC16112,'N2,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU16112,closelsw,0
S071XL16206OK,'071-E-116,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S071ZLC16310,'N2,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071HU16310,closelsw,0
S071XA26206C,'071-E-126,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S071HSH16200A,'071-P-111A,WBSWITCH,PV,IN,1,0,2,0,0,1,101,MODEL2,U071PU111A,DO_RUN,0
S071HSL16202A,'071-E-117,WBSWITCH,PV,IN,1,0,2,0,0,1,101,MODEL2,U071E117A,DO_STOP,0
060PI00066,'FG,PVI,RAW,IN,6000,0,2,0,0,1,203,MODEL2,U060PI00066,P,0
060FI00007,'WW,PVI,RAW,IN,900,0,2,0,0,1,203,MODEL2,U060FI00007,F,0
060ZI30029,'FG,PVI,RAW,IN,1,0,2,0,0,1,203,MODEL2,U060PU30029,pos,0
D060XS05001E,'060-U-110','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
060ZSC00015B,'N2,'MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U060FU00015B,closelsw,0
063ZSC01062,'063-CCP-217,'MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U063HU01062,closelsw,0
D060XS05021C,'060-U-200','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
D060XS25061A,'060-U-160B','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
D060XS06061,'060-H-010A/B',ST16,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
060HSL06081A,'060-H-020A/B',LC64,PV,IN,1,0,2,0,0,1,101,MODEL2,U060H020A,DO_STOP,0
D060XS05041A,'060-U-300','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
060XL06101BA,'060-H-030A/B',ST16,PV,IN,1,0,2,0,0,1,201,MODEL2,U060H030B,LRsw,0
060XZS06101A,'060-H-030A/B',ST16,PV,IN,1,0,2,0,0,1,200,DB2,WB206101S2017,B,24
063T00319_CA,'HH,CALCU,RV3,Q03,100,0,2,0,0,1,200,DB3,063T00319_CARV3,PV,0
063L00115_CA,'LL,CALCU,RV3,Q03,100,0,2,0,0,1,200,DB3,063L00115_CARV3,PV,0
S071TZMS05067B,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB201501S3119,B,5
S071LZMS26604,MOS,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB201701S3119,B,14
071H16033_TRK,'TRACKING,SWITCH,,,1,0,2,0,0,1,201,MODEL2,U071U110U,C19,0
S163XL00150AA,'163-PM-201A,PVI,PV,'Com.DI',1,0,2,0,0,1,201,MODEL2,U163PU201A,run,0
S163XL00150BB,'163-PM-201B,PVI,PV,'Com.DI',1,0,2,0,0,1,201,MODEL2,U163PU201B,LRsw,0
060XS06061B,'060-H-010A/B',LC64,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S2608_DIAG_ALRM,'DIAGNOSTIC,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2608,B,6
S2608_DIAG_CMER,'INTERSCS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2608,B,4
S2608_N2S1,'N2S1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2608,B,30
S2608_N1S2,'N1S2,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2608,B,24
S063UZRR03005,'READY,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2608,B,27
S063XZAF00507,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2608,B,19
S2620_N5_NRL,'N5,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2620,B,21
S063TZTG00311,'HH,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201301S2620,B,19
S063T00311FUG,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202701S2620,B,27
S063L00113FUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202701S2620,B,26
S000EZ01010FU10,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3101,B,11
S070P00053EFUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3101,B,7
S050HSM00134_001,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3101,B,6
S046XLAF00102,FAULT,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3101,B,27
S046EZ01015FU2,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3101,B,20
S047EZT02001,TRIP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S3101,B,28
S050HST00601,TRIP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202101S3101,B,16
046XL00105,'LER-001,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202701S3101,B,16
S050HSAF00602,FAULT,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB202701S3101,B,14
S3103_DIAG_ALRM,'DIAGNOSTIC,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3103,B,6
S3103_DIAG_CMER,'INTERSCS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3103,B,4
063XZ01044A,'HCS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3103,B,16
S063LZMF01041,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3103,B,7
